	NR	Urban	Undervisning_om_skeive	Oblig_emne	UV	UBU	Andre_temaer	Arr	HP_Arr	Overall_tilfredshet	Overall_behov_KH	Individ_behov_KH	Interesse_KH	Skeiv	Svartid
146	12664136	N	Y	N	-1	-1	0.0	-2.0	N	3	6	4	7	N	2 minutter 6 sekunder
147	12664137	Y	N		-1	-1	-1.0	-1.0	N	3	4	4	4	N	1 minutt 26 sekunder
148	12664220	N	IBU		0	0	1.0	-2.0	N	2	4	5	5	N	2 minutter 32 sekunder
149	12664240	N	N		-1	-1	1.0	-2.0	N	4	5	5	5	Y	2 minutter 45 sekunder
150	12664246	Y	IBU		-1	1	2.0	-2.0	Y	7	1	1	1	N	2 minutter 38 sekunder
151	12664667	N	IBU		1	0	0.0	-2.0	Y	5	3	5	3	N	3 minutter 14 sekunder
152	12664779	Y	N		0	0	1.0	-1.0	N	4	5	4	4	N	1 minutt 42 sekunder
153	12664966	N	N		-1	-1	-2.0	-2.0	N	4	5	6	6	N	3 minutter 29 sekunder
154	12665232	N	IBU		0	-1	1.0	-2.0	N	4	7	5	7	Y	2 minutter 48 sekunder
155	12666698	N	N		-1	-1	0.0	-2.0	N	5	4	3	4	N	2 minutter 15 sekunder
156	12669536	N	N		0	-1	-1.0	-1.0	NG	2	6	6	6	N	2 minutter 33 sekunder
157	12669590	N	IBU		0	0	1.0	-1.0	N	3	6	3	6	N	3 minutter 5 sekunder
158	12669872	N	N		0	-2	0.0	-1.0	N	4	5	2	6	Y	3 minutter 50 sekunder
159	12672254	N	N		-1	-1	0.0	-2.0	Y	4	5	4	5	N	2 minutter 18 sekunder
160	12738593	Y	N		-1	-1	1.0	-1.0	Y	4	6	6	6	N	15 minutter 52 sekunder
